mint,year,cls,decon,creator_allocation_t0,top5_concentration_wend,creator_time_to_first_sell_s,authority_revoked_in_window,n_early_holders,insider_funded_early_holders,freezable,mintable,nontransf,thook,creator_prior_launches,creator_prior_hard_rugs,creator_prior_rug_rate,creator_days_since_prev_launch,creator_first_seen
CP1KFKft4HtvNgNx5PDPrsmZbBs9fDFoVbJAKfiRAUde,2024,honest_candidate,soft_rug,-1.0,0.996877350117967,33.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0
gYgUiBNGMgHiKC2aReo12JTp5rJP4WpR892hFcbpump,2024,honest_candidate,honest_candidate,0.0,0.9999945620034403,-35.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0
36gmCN9HLE5s6j8FdEYUCywByZU2KKKYy3UnAShmpump,2024,honest_candidate,honest_candidate,9.264134359397422e-05,0.9955577007648939,-1.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0
DKQpAd288VT4pLS4qiZvoqHqRgqm72PTfxBCwahjpump,2024,honest_candidate,soft_rug,0.0,1.0,-53.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,92.0,45.0,0.4891304347826087,6.073726851851852,0.0
C52svWnbfGwG9579FUeGY3VcFL7EzX38UFvY8n6xpump,2024,honest_candidate,honest_candidate,0.0,1.0,-56.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,91.0,45.0,0.4945054945054945,9.313935185185185,0.0
32arrmeCMusDt2g26wKcY1ujzHjnGqGLT3GnDj5fZpyj,2024,honest_candidate,soft_rug,-1.0,0.9975222995828336,-56.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,63.0,38.0,0.6031746031746031,1.0827777777777778,0.0
Ca1e3gpWfH6r8G2i9qMQx83Aqoz5uP2x8PuYYpaDvjFp,2024,honest_candidate,honest_candidate,0.0,1.0,-1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0
5r4qC9niqqUhjMDsBkJBXTpKob6n3LGbD44jwHFpEFuV,2024,honest_candidate,honest_candidate,-1.0,0.7701641374157018,-48.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0
AG7e5ib8H5xJ4zAk4A4qNgtvSR9iNGWLrQDVc4YNK4jR,2024,honest_candidate,honest_candidate,-1.0,-1.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0
42aBQ9wfV1KrAC3gpepR6DDYqDc7vgqqrDDGc1EhAjnE,2024,honest_candidate,honest_candidate,-1.0,-1.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0
